날짜,"사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 모든 국가/지역","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 대한민국","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 미국","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 아르헨티나","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 인도",참고사항
2026년 2월 7일,6,5,0,0,0,
2026년 2월 8일,12,12,0,0,0,
2026년 2월 9일,4,3,0,0,0,
2026년 2월 10일,14,14,0,0,0,
2026년 2월 11일,11,11,0,0,0,
2026년 2월 12일,15,15,0,0,0,
2026년 2월 13일,20,20,0,0,0,
2026년 2월 14일,13,13,0,0,0,
2026년 2월 15일,8,8,0,0,0,
2026년 2월 16일,6,6,0,0,0,
2026년 2월 17일,15,14,0,0,0,
2026년 2월 18일,14,14,0,0,0,
2026년 2월 19일,11,11,0,0,0,
2026년 2월 20일,28,28,0,0,0,
2026년 2월 21일,18,18,0,0,0,
2026년 2월 22일,24,24,0,0,0,
2026년 2월 23일,21,20,0,0,0,
2026년 2월 24일,22,22,0,0,0,
2026년 2월 25일,14,14,0,0,0,
2026년 2월 26일,11,11,0,0,0,
2026년 2월 27일,6,6,0,0,0,
2026년 2월 28일,12,11,0,0,0,
2026년 3월 1일,20,20,0,0,0,
2026년 3월 2일,12,12,0,0,0,
2026년 3월 3일,13,13,0,0,0,
2026년 3월 4일,22,22,0,0,0,
2026년 3월 5일,42,42,0,0,0,
2026년 3월 6일,60,59,0,0,0,
2026년 3월 7일,41,40,0,0,0,
2026년 3월 8일,19,19,0,0,0,
2026년 3월 9일,20,20,0,0,0,
2026년 3월 10일,24,24,0,0,0,
2026년 3월 11일,19,19,0,0,0,
2026년 3월 12일,19,19,0,0,0,
2026년 3월 13일,21,21,0,0,0,보고 데이터 변경: 다음과 같이 확보 및 설치 측정항목이 업데이트되었습니다. <ul> <li> 감독 대상 계정 및 회사 계정 등 모든 계정 유형을 포함 </li> <li> 더 많은 스팸 계정을 필터링 </li> <li> 사용자가 여러 명인 기기를 더 정확하게 집계 </li> <li> 여러 기기를 사용하는 사용자를 더 정확하게 집계 </li> <li> 기기 비활성화 및 재활성화 감지를 개선 </li> </ul> 업데이트로 인해 이 날짜부터 측정항목이 변경될 수 있습니다.
2026년 3월 14일,59,59,0,0,0,버전 출시: 100%를 대상으로 4.0.0 출시 시작됨.
2026년 3월 15일,25,25,0,0,0,
2026년 3월 16일,11,11,0,0,0,
2026년 3월 17일,15,15,0,0,0,
2026년 3월 18일,15,15,0,0,0,버전 출시: 100%를 대상으로 4004 (4.0.0) 출시 시작됨.
2026년 3월 19일,11,11,0,0,0,
2026년 3월 20일,23,23,0,0,0,
2026년 3월 21일,20,20,0,0,0,
2026년 3월 22일,36,35,0,0,1,
2026년 3월 23일,32,32,0,0,0,
2026년 3월 24일,24,24,0,0,0,버전 출시: 100%를 대상으로 4007 (4.1.0) 출시 시작됨.
2026년 3월 25일,58,58,0,0,0,버전 출시: 100%를 대상으로 4009 (4.2.0) 출시 시작됨.
2026년 3월 26일,30,30,0,0,0,
2026년 3월 27일,71,71,0,0,0,
2026년 3월 28일,100,100,0,0,0,
2026년 3월 29일,222,221,1,0,0,버전 출시: 100%를 대상으로 4010 (4.2.1) 출시 시작됨.
2026년 3월 30일,159,158,0,0,0,
2026년 3월 31일,150,150,0,0,0,
2026년 4월 1일,170,170,0,0,0,
2026년 4월 2일,179,179,0,0,0,버전 출시: 100%를 대상으로 4011 (4.2.2) 출시 시작됨.
2026년 4월 3일,154,154,0,0,0,버전 출시: 100%를 대상으로 4013 (4.3.0) 출시 시작됨.
2026년 4월 4일,218,217,0,1,0,
2026년 4월 5일,268,267,0,0,0,
2026년 4월 6일,216,215,1,0,0,
2026년 4월 7일,186,186,0,0,0,
2026년 4월 8일,184,184,0,0,0,버전 출시: 100%를 대상으로 4014 (4.4.0) 출시 시작됨.
2026년 4월 9일,161,160,0,0,0,
2026년 4월 10일,163,163,0,0,0,
